values,date
351,2022-12-17
352,2022-12-18
353,2022-12-19
354,2022-12-20
355,2022-12-21
356,2022-12-22
357,2022-12-23
358,2022-12-24
359,2022-12-25
360,2022-12-26
361,2022-12-27
362,2022-12-28
363,2022-12-29
364,2022-12-30
365,2022-12-31
366,2023-01-01
367,2023-01-02
368,2023-01-03
369,2023-01-04
370,2023-01-05
371,2023-01-06
372,2023-01-07
373,2023-01-08
374,2023-01-09
375,2023-01-10
376,2023-01-11
377,2023-01-12
378,2023-01-13
379,2023-01-14
380,2023-01-15
381,2023-01-16
382,2023-01-17
383,2023-01-18
384,2023-01-19
385,2023-01-20
386,2023-01-21
387,2023-01-22
388,2023-01-23
389,2023-01-24
390,2023-01-25
391,2023-01-26
392,2023-01-27
393,2023-01-28
394,2023-01-29
395,2023-01-30
396,2023-01-31
397,2023-02-01
398,2023-02-02
399,2023-02-03
400,2023-02-04
401,2023-02-05
402,2023-02-06
403,2023-02-07
404,2023-02-08
405,2023-02-09
406,2023-02-10
407,2023-02-11
408,2023-02-12
409,2023-02-13
410,2023-02-14
411,2023-02-15
412,2023-02-16
413,2023-02-17
414,2023-02-18
415,2023-02-19
416,2023-02-20
417,2023-02-21
418,2023-02-22
419,2023-02-23
420,2023-02-24
421,2023-02-25
422,2023-02-26
423,2023-02-27
424,2023-02-28
425,2023-03-01
426,2023-03-02
427,2023-03-03
428,2023-03-04
429,2023-03-05
430,2023-03-06
431,2023-03-07
432,2023-03-08
433,2023-03-09
434,2023-03-10
435,2023-03-11
436,2023-03-12
437,2023-03-13
438,2023-03-14
439,2023-03-15
440,2023-03-16
441,2023-03-17
442,2023-03-18
443,2023-03-19
444,2023-03-20
445,2023-03-21
446,2023-03-22
447,2023-03-23
448,2023-03-24
449,2023-03-25
450,2023-03-26
451,2023-03-27
452,2023-03-28
453,2023-03-29
454,2023-03-30
455,2023-03-31
456,2023-04-01
457,2023-04-02
458,2023-04-03
459,2023-04-04
460,2023-04-05
461,2023-04-06
462,2023-04-07
463,2023-04-08
464,2023-04-09
465,2023-04-10
466,2023-04-11
467,2023-04-12
468,2023-04-13
469,2023-04-14
470,2023-04-15
471,2023-04-16
472,2023-04-17
473,2023-04-18
474,2023-04-19
475,2023-04-20
476,2023-04-21
477,2023-04-22
478,2023-04-23
479,2023-04-24
480,2023-04-25
481,2023-04-26
482,2023-04-27
483,2023-04-28
484,2023-04-29
485,2023-04-30
486,2023-05-01
487,2023-05-02
488,2023-05-03
489,2023-05-04
490,2023-05-05
491,2023-05-06
492,2023-05-07
493,2023-05-08
494,2023-05-09
495,2023-05-10
496,2023-05-11
497,2023-05-12
498,2023-05-13
499,2023-05-14
500,2023-05-15
501,2023-05-16
502,2023-05-17
503,2023-05-18
504,2023-05-19
505,2023-05-20
506,2023-05-21
507,2023-05-22
508,2023-05-23
509,2023-05-24
510,2023-05-25
511,2023-05-26
512,2023-05-27
513,2023-05-28
514,2023-05-29
515,2023-05-30
516,2023-05-31
517,2023-06-01
518,2023-06-02
519,2023-06-03
520,2023-06-04
521,2023-06-05
522,2023-06-06
523,2023-06-07
524,2023-06-08
525,2023-06-09
526,2023-06-10
527,2023-06-11
528,2023-06-12
529,2023-06-13
530,2023-06-14
531,2023-06-15
532,2023-06-16
533,2023-06-17
534,2023-06-18
535,2023-06-19
536,2023-06-20
537,2023-06-21
538,2023-06-22
539,2023-06-23
540,2023-06-24
541,2023-06-25
542,2023-06-26
543,2023-06-27
544,2023-06-28
545,2023-06-29
546,2023-06-30
547,2023-07-01
548,2023-07-02
549,2023-07-03
550,2023-07-04
551,2023-07-05
552,2023-07-06
553,2023-07-07
554,2023-07-08
555,2023-07-09
556,2023-07-10
557,2023-07-11
558,2023-07-12
559,2023-07-13
560,2023-07-14
561,2023-07-15
562,2023-07-16
563,2023-07-17
564,2023-07-18
565,2023-07-19
566,2023-07-20
567,2023-07-21
568,2023-07-22
569,2023-07-23
570,2023-07-24
571,2023-07-25
572,2023-07-26
573,2023-07-27
574,2023-07-28
575,2023-07-29
576,2023-07-30
577,2023-07-31
578,2023-08-01
579,2023-08-02
580,2023-08-03
581,2023-08-04
582,2023-08-05
583,2023-08-06
584,2023-08-07
585,2023-08-08
586,2023-08-09
587,2023-08-10
588,2023-08-11
589,2023-08-12
590,2023-08-13
591,2023-08-14
592,2023-08-15
593,2023-08-16
594,2023-08-17
595,2023-08-18
596,2023-08-19
597,2023-08-20
598,2023-08-21
599,2023-08-22
600,2023-08-23
601,2023-08-24
602,2023-08-25
603,2023-08-26
604,2023-08-27
605,2023-08-28
606,2023-08-29
607,2023-08-30
608,2023-08-31
609,2023-09-01
610,2023-09-02
611,2023-09-03
612,2023-09-04
613,2023-09-05
614,2023-09-06
615,2023-09-07
616,2023-09-08
617,2023-09-09
618,2023-09-10
619,2023-09-11
620,2023-09-12
621,2023-09-13
622,2023-09-14
623,2023-09-15
624,2023-09-16
625,2023-09-17
626,2023-09-18
627,2023-09-19
628,2023-09-20
629,2023-09-21
630,2023-09-22
631,2023-09-23
632,2023-09-24
633,2023-09-25
634,2023-09-26
635,2023-09-27
636,2023-09-28
637,2023-09-29
638,2023-09-30
639,2023-10-01
640,2023-10-02
641,2023-10-03
642,2023-10-04
643,2023-10-05
644,2023-10-06
645,2023-10-07
646,2023-10-08
647,2023-10-09
648,2023-10-10
649,2023-10-11
650,2023-10-12
651,2023-10-13
652,2023-10-14
653,2023-10-15
654,2023-10-16
655,2023-10-17
656,2023-10-18
657,2023-10-19
658,2023-10-20
659,2023-10-21
660,2023-10-22
661,2023-10-23
662,2023-10-24
663,2023-10-25
664,2023-10-26
665,2023-10-27
666,2023-10-28
667,2023-10-29
668,2023-10-30
669,2023-10-31
670,2023-11-01
671,2023-11-02
672,2023-11-03
673,2023-11-04
674,2023-11-05
675,2023-11-06
676,2023-11-07
677,2023-11-08
678,2023-11-09
679,2023-11-10
680,2023-11-11
681,2023-11-12
682,2023-11-13
683,2023-11-14
684,2023-11-15
685,2023-11-16
686,2023-11-17
687,2023-11-18
688,2023-11-19
689,2023-11-20
690,2023-11-21
691,2023-11-22
692,2023-11-23
693,2023-11-24
694,2023-11-25
695,2023-11-26
696,2023-11-27
697,2023-11-28
698,2023-11-29
699,2023-11-30
700,2023-12-01
701,2023-12-02
702,2023-12-03
703,2023-12-04
704,2023-12-05
705,2023-12-06
706,2023-12-07
707,2023-12-08
708,2023-12-09
709,2023-12-10
710,2023-12-11
711,2023-12-12
712,2023-12-13
713,2023-12-14
714,2023-12-15
715,2023-12-16
716,2023-12-17
717,2023-12-18
718,2023-12-19
719,2023-12-20
720,2023-12-21
721,2023-12-22
722,2023-12-23
723,2023-12-24
724,2023-12-25
725,2023-12-26
726,2023-12-27
727,2023-12-28
728,2023-12-29
729,2023-12-30
730,2023-12-31
731,2024-01-01
732,2024-01-02
733,2024-01-03
734,2024-01-04
735,2024-01-05
736,2024-01-06
737,2024-01-07
738,2024-01-08
739,2024-01-09
740,2024-01-10
741,2024-01-11
742,2024-01-12
743,2024-01-13
744,2024-01-14
745,2024-01-15
746,2024-01-16
747,2024-01-17
748,2024-01-18
749,2024-01-19
750,2024-01-20
751,2024-01-21
752,2024-01-22
753,2024-01-23
754,2024-01-24
755,2024-01-25
756,2024-01-26
757,2024-01-27
758,2024-01-28
759,2024-01-29
760,2024-01-30
761,2024-01-31
762,2024-02-01
763,2024-02-02
764,2024-02-03
765,2024-02-04
766,2024-02-05
767,2024-02-06
768,2024-02-07
769,2024-02-08
770,2024-02-09
771,2024-02-10
772,2024-02-11
773,2024-02-12
774,2024-02-13
775,2024-02-14
776,2024-02-15
777,2024-02-16
778,2024-02-17
779,2024-02-18
780,2024-02-19
781,2024-02-20
782,2024-02-21
783,2024-02-22
784,2024-02-23
785,2024-02-24
786,2024-02-25
787,2024-02-26
788,2024-02-27
789,2024-02-28
790,2024-02-29
791,2024-03-01
792,2024-03-02
793,2024-03-03
794,2024-03-04
795,2024-03-05
796,2024-03-06
797,2024-03-07
798,2024-03-08
799,2024-03-09
800,2024-03-10
801,2024-03-11
802,2024-03-12
803,2024-03-13
804,2024-03-14
805,2024-03-15
806,2024-03-16
807,2024-03-17
808,2024-03-18
809,2024-03-19
810,2024-03-20
811,2024-03-21
812,2024-03-22
813,2024-03-23
814,2024-03-24
815,2024-03-25
816,2024-03-26
817,2024-03-27
818,2024-03-28
819,2024-03-29
820,2024-03-30
821,2024-03-31
822,2024-04-01
823,2024-04-02
824,2024-04-03
825,2024-04-04
826,2024-04-05
827,2024-04-06
828,2024-04-07
829,2024-04-08
830,2024-04-09
831,2024-04-10
832,2024-04-11
833,2024-04-12
834,2024-04-13
835,2024-04-14
836,2024-04-15
837,2024-04-16
838,2024-04-17
839,2024-04-18
840,2024-04-19
841,2024-04-20
842,2024-04-21
843,2024-04-22
844,2024-04-23
845,2024-04-24
846,2024-04-25
847,2024-04-26
848,2024-04-27
849,2024-04-28
850,2024-04-29
851,2024-04-30
852,2024-05-01
853,2024-05-02
854,2024-05-03
855,2024-05-04
856,2024-05-05
857,2024-05-06
858,2024-05-07
859,2024-05-08
860,2024-05-09
861,2024-05-10
862,2024-05-11
863,2024-05-12
864,2024-05-13
865,2024-05-14
866,2024-05-15
867,2024-05-16
868,2024-05-17
869,2024-05-18
870,2024-05-19
871,2024-05-20
872,2024-05-21
873,2024-05-22
874,2024-05-23
875,2024-05-24
876,2024-05-25
877,2024-05-26
878,2024-05-27
879,2024-05-28
880,2024-05-29
881,2024-05-30
882,2024-05-31
883,2024-06-01
884,2024-06-02
885,2024-06-03
886,2024-06-04
887,2024-06-05
888,2024-06-06
889,2024-06-07
890,2024-06-08
891,2024-06-09
892,2024-06-10
893,2024-06-11
894,2024-06-12
895,2024-06-13
896,2024-06-14
897,2024-06-15
898,2024-06-16
899,2024-06-17
900,2024-06-18
901,2024-06-19
902,2024-06-20
903,2024-06-21
904,2024-06-22
905,2024-06-23
906,2024-06-24
907,2024-06-25
908,2024-06-26
909,2024-06-27
910,2024-06-28
911,2024-06-29
912,2024-06-30
913,2024-07-01
914,2024-07-02
915,2024-07-03
916,2024-07-04
917,2024-07-05
918,2024-07-06
919,2024-07-07
920,2024-07-08
921,2024-07-09
922,2024-07-10
923,2024-07-11
924,2024-07-12
925,2024-07-13
926,2024-07-14
927,2024-07-15
928,2024-07-16
929,2024-07-17
930,2024-07-18
931,2024-07-19
932,2024-07-20
933,2024-07-21
934,2024-07-22
935,2024-07-23
936,2024-07-24
937,2024-07-25
938,2024-07-26
939,2024-07-27
940,2024-07-28
941,2024-07-29
942,2024-07-30
943,2024-07-31
944,2024-08-01
945,2024-08-02
946,2024-08-03
947,2024-08-04
948,2024-08-05
949,2024-08-06
950,2024-08-07
951,2024-08-08
952,2024-08-09
953,2024-08-10
954,2024-08-11
955,2024-08-12
956,2024-08-13
957,2024-08-14
958,2024-08-15
959,2024-08-16
960,2024-08-17
961,2024-08-18
962,2024-08-19
963,2024-08-20
964,2024-08-21
965,2024-08-22
966,2024-08-23
967,2024-08-24
968,2024-08-25
969,2024-08-26
970,2024-08-27
971,2024-08-28
972,2024-08-29
973,2024-08-30
974,2024-08-31
975,2024-09-01
976,2024-09-02
977,2024-09-03
978,2024-09-04
979,2024-09-05
980,2024-09-06
981,2024-09-07
982,2024-09-08
983,2024-09-09
984,2024-09-10
985,2024-09-11
986,2024-09-12
987,2024-09-13
988,2024-09-14
989,2024-09-15
990,2024-09-16
991,2024-09-17
992,2024-09-18
993,2024-09-19
994,2024-09-20
995,2024-09-21
996,2024-09-22
997,2024-09-23
998,2024-09-24
999,2024-09-25
